Age,Age_density,Deck,Embarked,Fare,Parch,Pclass,Sex,SibSp,Survived,Ticket_density,Title
22.0,27,8,2,7.25,0,3,0,1,0,1,2
38.0,11,2,0,71.2833,0,1,1,1,1,1,3
26.0,18,8,2,7.925,0,3,1,0,1,1,1
35.0,18,2,2,53.1,0,1,1,1,1,2,3
35.0,18,8,2,8.05,0,3,0,0,0,1,2
28.0,1,8,1,8.4583,0,3,0,0,0,1,2
54.0,8,4,2,51.8625,0,1,0,0,0,1,2
2.0,10,8,2,21.075,1,3,0,3,0,4,0
27.0,18,8,2,11.1333,2,3,1,0,1,3,3
14.0,6,8,0,30.0708,0,2,1,1,1,2,3
4.0,10,6,2,16.7,1,3,1,1,1,2,1
58.0,5,2,2,26.55,0,1,1,0,1,1,1
20.0,15,8,2,8.05,0,3,0,0,0,1,2
39.0,14,8,2,31.275,5,3,0,1,0,7,2
14.0,6,8,2,7.8542,0,3,1,0,0,1,1
55.0,2,8,2,16.0,0,2,1,0,1,1,3
2.0,10,8,1,29.125,1,3,0,4,0,5,0
28.0,1,8,2,13.0,0,2,0,0,1,1,2
31.0,17,8,2,18.0,0,3,1,1,0,1,3
28.0,1,8,0,7.225,0,3,1,0,1,1,3
35.0,18,8,2,26.0,0,2,0,0,0,2,2
34.0,15,3,2,13.0,0,2,0,0,1,1,2
15.0,5,8,1,8.0292,0,3,1,0,1,1,1
28.0,25,0,2,35.5,0,1,0,0,1,1,2
8.0,4,8,2,21.075,1,3,1,3,0,4,1
38.0,11,8,2,31.3875,5,3,1,1,1,4,3
28.0,1,8,0,7.225,0,3,0,0,0,1,2
19.0,25,2,2,249.00622000000033,2,1,0,3,0,4,2
28.0,1,8,1,7.8792,0,3,1,0,1,1,1
28.0,1,8,2,7.8958,0,3,0,0,0,1,2
40.0,13,8,0,27.7208,0,1,0,0,0,1,4
28.0,1,1,0,146.5208,0,1,1,1,1,2,3
28.0,1,8,1,7.75,0,3,1,0,1,1,1
66.0,1,8,2,10.5,0,2,0,0,0,1,2
28.0,25,8,0,82.1708,0,1,0,1,0,2,2
42.0,13,8,2,52.0,0,1,0,1,0,2,2
28.0,1,8,0,7.2292,0,3,0,0,1,1,2
21.0,24,8,2,8.05,0,3,0,0,0,1,2
18.0,26,8,2,18.0,0,3,1,2,0,2,1
14.0,6,8,0,11.2417,0,3,1,1,1,2,1
40.0,13,8,2,9.475,0,3,1,1,0,1,3
27.0,18,8,2,21.0,0,2,1,1,0,2,3
28.0,1,8,0,7.8958,0,3,0,0,0,1,2
3.0,6,8,0,41.5792,2,2,1,1,1,3,1
19.0,25,8,1,7.8792,0,3,1,0,1,1,1
28.0,1,8,2,8.05,0,3,0,0,0,1,2
28.0,1,8,1,15.5,0,3,0,1,0,1,2
28.0,1,8,1,7.75,0,3,1,0,1,1,1
28.0,1,8,0,21.6792,0,3,0,2,0,1,2
18.0,26,8,2,17.8,0,3,1,1,0,2,3
7.0,3,8,2,39.6875,1,3,0,4,0,6,0
21.0,24,8,2,7.8,0,3,0,0,0,1,2
49.0,6,3,0,76.7292,0,1,1,1,1,3,3
29.0,20,8,2,26.0,0,2,1,1,1,1,3
65.0,3,1,0,61.9792,1,1,0,0,0,1,2
28.0,1,2,2,35.5,0,1,0,0,1,1,2
21.0,24,8,2,10.5,0,2,1,0,1,1,1
28.5,2,8,0,7.2292,0,3,0,0,0,1,2
5.0,4,8,2,27.75,2,2,1,1,1,3,1
11.0,4,8,2,46.9,2,3,0,5,0,6,0
22.0,27,8,0,7.2292,0,3,0,0,0,1,2
38.0,11,1,2,80.0,0,1,1,0,1,2,1
45.0,12,2,2,83.475,0,1,0,1,0,2,2
4.0,10,8,2,27.9,2,3,0,3,0,6,0
28.0,1,8,0,27.7208,0,1,0,0,0,1,2
28.0,1,8,0,15.2458,1,3,0,1,1,2,0
29.0,20,5,2,10.5,0,2,1,0,1,1,3
19.0,25,8,2,8.1583,0,3,0,0,0,1,2
17.0,13,8,2,7.925,2,3,1,4,1,1,1
26.0,18,8,2,8.6625,0,3,0,2,0,1,2
32.0,18,8,2,10.5,0,2,0,0,0,1,2
16.0,17,8,2,46.9,2,3,1,5,0,6,1
21.0,24,8,2,73.5,0,2,0,0,0,5,2
26.0,18,8,0,14.4542,0,3,0,1,0,1,2
32.0,18,8,2,56.4958,0,3,0,0,1,7,2
